term,name,definition,category,provenance,provenanceUri,note
boolean,Boolean,"A boolean type is typically a logical type that can be either ""true"" or ""false"".",,,,
floatingPointNumber,"Floading point number","A floating-point number represents a limited-precision rational number that may have a fractional part. ",,,,
integer,Integer,"An integer data type can hold a whole number, but no fraction. Integers may be either signed (allowing negative values) or unsigned (nonnegative values only). ",,,,
string,String,"An array of characters including letters, digits, punctuation marks, symbols, etc.",,,,
